Variedad,Fecha,RendimientoPromedio,RendimientoDesviacion,
F2000,07-01,10105,473,
F2000,07-08,10098,461,
F2000,07-15,10111,368,
F2000,07-22,10213,273,
F2000,07-29,10257,282,
F2000,08-05,10211,233,
F2000,08-12,10178,264,
F2000,08-19,10102,293,
F733,07-01, 9587,476,
F733,07-08, 9583,455,
F733,07-15, 9620,360,
F733,07-22, 9697,258,
F733,07-29, 9746,272,
F733,08-05, 9714,248,
F733,08-12, 9653,288,
F733,08-19, 9599,308,
F60,07-01,10339,483,
F60,07-08,10344,452,
F60,07-15,10368,371,
F60,07-22,10397,299,
F60,07-29,10458,272,
F60,08-05,10398,248,
F60,08-12,10385,287,
F60,08-19,10332,337,
